product_category,product_parent,product_title,bayes_rating,avg_rating,n_ratings
Digital_Ebook_Purchase,585109048,Wonder,4.758414677698912,4.841954022988506,1392
Digital_Video_Download,755132112,Band of Brothers Season 1,4.908161970081696,4.924299271683955,9062
Mobile_Electronics,449766602,AYL (TM) Portable Mini Speaker System for PC / Phone / Tablet / Apple iPod Touch / iPhone 4 / iPad / MP3 Player (Black),4.52353383778978,4.787072243346008,263
Pet Products,333035590,"Stainless Steel Pet Id Tags, Personalized Dog Tags & Cat Tags. Up to 8 Lines of Text – Engraved Front & Back. Bone, Round, Heart, Flower, Shield, House, Star, Rectangle, & Bow Tie.",4.805863215301365,4.846779440468445,3074
Apparel,210069517,"36 Stainless Steel Collar Stays in Sapphire Box, Order the Sizes You Need",4.722988265979232,4.800711743772242,1405
Electronics,196172589,HDMI-DVI Cables,4.765543049890155,4.795518207282913,3927
Outdoors,173804483,"Morakniv Companion Fixed Blade Outdoor Knife with Sandvik Stainless Steel Blade, 4.1-Inch",4.712508153242396,4.836616454229432,863
Automotive,674514810,Camco 55191 25' PowerGrip Electrical Power Cord with Handle,4.70277962194504,4.846049046321526,734
Books,667539744,Harry Potter And The Prisoner Of Azkaban,4.7562554784429,4.840086830680174,1382
Camera,974098160,MagicFiber Complete,4.827950954284614,4.8519542772861355,5424
Health & Personal Care,489697909,"Jojoba Oil by Leven Rose - Leven Rose Jojoba Oil - 100% Organic Pure Cold Pressed Unrefined Natural - 4 oz - for Hair, Skin & Nails",4.800149565202376,4.833069202324353,3786
Shoes,373415910,Clarks Women's Breeze Sea Flip-Flop,4.759351842828308,4.789378705852024,3879
Beauty,794858888,Shea Butter,4.774759291004332,4.818649045521292,2724
