product_category,product_parent,product_title,bayes_rating,avg_rating,n_ratings
Outdoors,173804483,"Morakniv Companion Fixed Blade Outdoor Knife with Sandvik Stainless Steel Blade, 4.1-Inch",4.724369084063736,4.836616454229432,863
Automotive,674514810,Camco 55191 25' PowerGrip Electrical Power Cord with Handle,4.717620517132398,4.846049046321526,734
Camera,974098160,MagicFiber Complete,4.82617406604509,4.8519542772861355,5424
Shoes,373415910,Clarks Women's Breeze Sea Flip-Flop,4.762503575517887,4.789378705852024,3879
Books,667539744,Harry Potter And The Prisoner Of Azkaban,4.756981374514159,4.840086830680174,1382
Mobile_Electronics,698394784,"New Trent Easypak 7000mAh Portable Triple USB Port External Battery Charger/Power Pack for Smartphones, Tablets and more (w/built-in USB cable)",4.358014080399025,4.530434782608696,690
Pet_Products,333035590,"Stainless Steel Pet Id Tags, Personalized Dog Tags & Cat Tags. Up to 8 Lines of Text – Engraved Front & Back. Bone, Round, Heart, Flower, Shield, House, Star, Rectangle, & Bow Tie.",4.803827304154173,4.846779440468445,3074
Digital_Video_Download,755132112,Band of Brothers Season 1,4.908685125018601,4.924299271683955,9062
Apparel,210069517,"36 Stainless Steel Collar Stays in Sapphire Box, Order the Sizes You Need",4.714047219866834,4.800711743772242,1405
Electronics,196172589,HDMI-DVI Cables,4.758687009607152,4.795518207282913,3927
Beauty,794858888,Shea Butter,4.775459244212176,4.818649045521292,2724
Digital_Ebook_Purchase,585109048,Wonder,4.766443079946994,4.841954022988506,1392
Health_Personal_Care,489697909,"Jojoba Oil by Leven Rose - Leven Rose Jojoba Oil - 100% Organic Pure Cold Pressed Unrefined Natural - 4 oz - for Hair, Skin & Nails",4.799388821378199,4.833069202324353,3786
